Gene Symbol	Entrez ID	Uniprot ID	Ensembl ID	DOID	Source	Disease Name	DOID Source
MIR184	406960	None	ENSG00000207695	DOID:9002905	HPO	EDICT Syndrome	Xref -> OMIM
PNPT1	87178	Q8TCS8	ENSG00000138035	DOID:0110521	HPO	autosomal recessive nonsyndromic deafness 70	Xref -> OMIM
BAG3	9531	O95817	ENSG00000151929	DOID:0080097	HPO	myofibrillar myopathy 6	Xref -> OMIM
SCN10A	6336	Q9Y5Y9	ENSG00000185313	DOID:0111537	HPO	Paroxysmal extreme pain disorder	Xref -> UMLS
SLC44A1	23446	A0A024R151	ENSG00000070214	DOID:9002043	HPO	Childhood-onset Neurodegeneration with Ataxia, Tremor, Optic Atrophy, and Cognitive Decline	Xref -> OMIM
CYTB	4519	A0A023QSV5	ENSG00000284434	DOID:705	HPO	Leber hereditary optic neuropathy	Xref -> UMLS
PTH1R	5745	E7EWE7	ENSG00000160801	DOID:4624	HPO	Ollier disease	Xref -> MeSH
TAT	6898	A1L4G7	ENSG00000198650	DOID:0050725	HPO	Tyrosinemia type 2	Xref -> OMIM
NTRK1	4914	P04629	ENSG00000198400	DOID:0070145	HPO	Hereditary sensory and autonomic neuropathy type 5	Xref -> UMLS
ACTL9	284382	Q8TC94	ENSG00000181786	DOID:0112279	HPO	spermatogenic failure 53	Xref -> OMIM
SOST	50964	Q9BQB4	ENSG00000167941	DOID:0080807	HPO	autosomal dominant craniodiaphyseal dysplasia	Xref -> OMIM
PTPN3	5774	B7Z9V1	ENSG00000070159	DOID:4947	HPO	Cholangiocarcinoma	Xref -> UMLS
SCN2A	6326	A0A669KAR0	ENSG00000136531	DOID:9005759	HPO	Benign Familial Infantile Seizures, 3	Xref -> OMIM
SCN10A	6336	Q9Y5Y9	ENSG00000185313	DOID:0050451	HPO	Brugada syndrome	Xref -> UMLS
BCL6	604	A0A0C4DH53	ENSG00000113916	DOID:0050873	HPO	Follicular lymphoma	Xref -> MeSH
COL2A1	1280	P02458	ENSG00000139219	DOID:0112297	HPO	spondylometaphyseal dysplasia corner fracture type	Xref -> OMIM
FN1	2335	Q6PJE5	ENSG00000115414	DOID:0112297	HPO	Spondylometaphyseal dysplasia, 'corner fracture' type	Xref -> UMLS
PLG	5340	Q9UMI2	ENSG00000122194	DOID:9005017	HPO	Hereditary Angioedema 4	Xref -> OMIM
GPIHBP1	338328	Q8IV16	ENSG00000277494	DOID:0111420	HPO	familial GPIHBP1 deficiency	Xref -> OMIM
IFIH1	64135	A0A3B3IRK8	ENSG00000115267	DOID:0050629	HPO	Aicardi-Goutières syndrome	Xref -> MeSH
RIPOR2	9750	B7Z6U4	ENSG00000111913	DOID:0110465	HPO	autosomal recessive nonsyndromic deafness 104	Xref -> OMIM
DNM1L	10059	Q32Q67	ENSG00000087470	DOID:5723	HPO	Autosomal dominant optic atrophy, classic form	Xref -> OMIM
LRRC32	2615	C9JYU3	ENSG00000137507	DOID:9000539	HPO	Cleft Palate, Proliferative Retinopathy, and Developmental Delay	Xref -> OMIM
DNMT3A	1788	F8WE91	ENSG00000119772	DOID:0112339	HPO	Tatton-Brown-Rahman syndrome	Xref -> OMIM
TRNW	4578	None	ENSG00000210117	DOID:3687	HPO	MELAS	Xref -> UMLS
TRAPPC14	55262	C9JMZ9	ENSG00000146826	DOID:9003084	HPO	Primary Autosomal Recessive Microcephaly 25	Xref -> OMIM
NUMA1	4926	F5H073	ENSG00000137497	DOID:0060318	HPO	acute promyelocytic leukemia	Xref -> OMIM
C3	718	M0QXZ3	ENSG00000125730	DOID:0080301	HPO	atypical hemolytic-uremic syndrome	Xref -> OMIM
FKRP	79147	A0A024R0R7	ENSG00000181027	DOID:9000748	HPO	Congenital muscular dystrophy with intellectual disability	Xref -> OMIM
SRA1	10011	Q9H7N4	ENSG00000126461	DOID:0090078	HPO	hypogonadotropic hypogonadism 7 with or without anosmia	Xref -> OMIM
C1GALT1C1	29071	Q96EU7	ENSG00000171155	DOID:0080520	HPO	Tn polyagglutination syndrome	Xref -> OMIM
BBS12	166379	Q6ZW61	ENSG00000181004	DOID:1935	HPO	Bardet-Biedl syndrome	Xref -> UMLS
PEX7	5191	O00628	ENSG00000112357	DOID:10582	HPO	Refsum disease	Xref -> OMIM
NAA20	51126	P61599	ENSG00000173418	None	HPO	None	None
FLNA	2316	F8WE98	ENSG00000196924	DOID:0111786	HPO	frontometaphyseal dysplasia 1	Xref -> OMIM
PIGQ	9091	A0A1B0GUW1	ENSG00000007541	DOID:0112213	HPO	developmental and epileptic encephalopathy 77	Xref -> OMIM
HOXD13	3239	P35453	ENSG00000128714	DOID:0110971	HPO	brachydactyly type D	Xref -> OMIM
SLC2A1	6513	A0A8B0RJV8	ENSG00000117394	DOID:0090045	HPO	childhood onset GLUT1 deficiency syndrome 2	Xref -> OMIM
AXIN2	8313	A0A024R8M3	ENSG00000168646	None	HPO	None	None
CYP11B2	1585	Q16316	ENSG00000179142	DOID:14080	HPO	Familial hyperaldosteronism type I	Xref -> UMLS
CDH1	999	D3XNU5	ENSG00000039068	None	HPO	None	None
TERT	7015	Q9UQ24	ENSG00000164362	DOID:0050156	HPO	idiopathic pulmonary fibrosis	Xref -> OMIM
WAC	51322	A0A0A0MRT2	ENSG00000095787	DOID:9006965	HPO	Desanto-Shinawi Syndrome	Xref -> OMIM
PDZD7	79955	Q9H5P4	ENSG00000186862	DOID:0110839	HPO	Usher syndrome type 2C	Xref -> OMIM
WAS	7454	A0A024QYX8	ENSG00000015285	DOID:9169	HPO	Wiskott-Aldrich syndrome	Xref -> UMLS
ABCD4	5826	H0YCY9	ENSG00000119688	DOID:9005863	HPO	Methylmalonic Aciduria and Homocystinuria, cblJ Type	Xref -> OMIM
SOS2	6655	Q07890	ENSG00000100485	DOID:0060587	HPO	Noonan syndrome 9	Xref -> OMIM
CYP11A1	1583	A0A0S2Z3R3	ENSG00000140459	DOID:0050546	HPO	46,XY disorder of sex development-adrenal insufficiency due to CYP11A1 deficiency	Xref -> OMIM
MED23	9439	B9TX53	ENSG00000112282	DOID:0060308	HPO	Autosomal recessive non-syndromic intellectual disability	Xref -> OMIM
PRPF31	26121	E7EN72	ENSG00000105618	DOID:10584	HPO	Retinitis pigmentosa	Xref -> UMLS
NDUFS2	4720	A0A7I2V2B9	ENSG00000158864	DOID:3652	HPO	Leigh syndrome with leukodystrophy	Xref -> OMIM
SCYL1	57410	E9PS17	ENSG00000142186	DOID:0111155	HPO	Acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome	Xref -> OMIM
PLP1	5354	B1B1G1	ENSG00000123560	DOID:0110773	HPO	Spastic paraplegia type 2	Xref -> MeSH
ALDH18A1	5832	P54886	ENSG00000059573	DOID:0110825	HPO	hereditary spastic paraplegia 9B	Xref -> OMIM
UNC119	9094	J3QQT8	ENSG00000109103	DOID:0111987	HPO	immunodeficiency 13	Xref -> OMIM
ATXN2	6311	A0A2R8YDM9	ENSG00000204842	DOID:0050955	HPO	spinocerebellar ataxia type 2	Xref -> OMIM
TAB2	23118	Q9NYJ8	ENSG00000055208	DOID:9007753	HPO	Congenital Heart Defects, Multiple Types, 2	Xref -> OMIM
DNMT3B	1789	A0A2Z2CIT2	ENSG00000088305	DOID:11727	HPO	Facioscapulohumeral dystrophy	Xref -> UMLS
WDR48	57599	Q8TAF3	ENSG00000114742	DOID:0060245	HPO	Autosomal recessive spastic paraplegia type 60	Xref -> ICD-10
SLCO2A1	6578	E7EU40	ENSG00000174640	None	HPO	None	None
DSP	1832	G1UI31	ENSG00000096696	DOID:9004026	HPO	Dilated Cardiomyopathy with Woolly Hair, Keratoderma, and Tooth Agenesis	Xref -> OMIM
PEX1	5189	A0A0C4DG33	ENSG00000127980	DOID:905	HPO	Zellweger syndrome	Xref -> UMLS
CACNA1F	778	O60840	ENSG00000102001	DOID:0111007	HPO	X-linked cone-rod dystrophy 3	Xref -> OMIM
SMCHD1	23347	A6NHR9	ENSG00000101596	DOID:11727	HPO	Facioscapulohumeral dystrophy	Xref -> UMLS
PMFBP1	83449	F5GYR2	ENSG00000118557	DOID:0111922	HPO	spermatogenic failure 31	Xref -> OMIM
RET	5979	A0A1W2PSA1	ENSG00000165731	DOID:10487	HPO	Hirschsprung's disease	Xref -> OMIM
SLC45A1	50651	A0A2H2EQP0	ENSG00000162426	None	HPO	None	None
FMO3	2328	A0A024R8Z4	ENSG00000007933	DOID:0080361	HPO	Severe primary trimethylaminuria	Xref -> GARD
CARD11	84433	A0A192GQM1	ENSG00000198286	DOID:9005199	HPO	B-CELL EXPANSION WITH NFKB AND T-CELL ANERGY	Xref -> OMIM
EDNRB	1910	A0A024R645	ENSG00000136160	None	HPO	None	None
GRIN2B	2904	Q13224	ENSG00000273079	None	HPO	None	None
SLC51A	200931	H7C3V2	ENSG00000163959	DOID:9002471	HPO	Progressive Familial Intrahepatic Cholestasis 6	Xref -> OMIM
IL10RA	3587	E9PPU4	ENSG00000110324	DOID:0110899	HPO	inflammatory bowel disease 28	Xref -> OMIM
PLCD1	5333	P51178	ENSG00000187091	DOID:0080081	HPO	nonsyndromic congenital nail disorder 3	Xref -> OMIM
TRNQ	4572	None	ENSG00000210107	DOID:3687	HPO	MELAS	Xref -> UMLS
APC	324	Q9P119	ENSG00000134982	DOID:0111349	HPO	hereditary desmoid disease	Xref -> OMIM
DYNC1H1	1778	A0A7P0T916	ENSG00000197102	None	HPO	None	None
SMARCB1	6598	Q6Q321	ENSG00000099956	DOID:3204	HPO	neurilemmomatosis	Xref -> OMIM
ADCY5	111	F8WBM0	ENSG00000173175	DOID:9002949	HPO	DYSKINESIA WITH OROFACIAL INVOLVEMENT, AUTOSOMAL RECESSIVE	Xref -> OMIM
