Gene Symbol	Entrez ID	Uniprot ID	Ensembl ID	DOID	Source	Disease Name	DOID Source
CD40LG	959	P29965	ENSG00000102245	DOID:0060022	HPO	CD40 ligand deficiency	Xref -> OMIM
TCF12	6938	Q99081	ENSG00000140262	DOID:9002666	HPO	Hypogonadotropic Hypogonadism 26 with or without Anosmia	Xref -> OMIM
MCFD2	90411	Q8NI22	ENSG00000180398	DOID:9000717	HPO	Combined deficiency of factor V and factor VIII	DiseaseName -> Frozenset
EYA1	2138	Q99502	ENSG00000104313	None	HPO	None	None
MIR17HG	407975	Q75NE6	ENSG00000215417	None	HPO	None	None
SRCAP	10847	Q6ZRS2	ENSG00000080603	None	HPO	None	None
GPR68	8111	Q15743	ENSG00000119714	DOID:0080960	HPO	amelogenesis imperfecta type 2A6	Xref -> OMIM
TOPORS	10210	Q9NS56	ENSG00000197579	DOID:0110391	HPO	retinitis pigmentosa 31	Xref -> OMIM
GRIA4	2893	P48058	ENSG00000152578	DOID:0060307	HPO	Non-specific syndromic intellectual disability	Xref -> OMIM
DMGDH	29958	Q9UI17	ENSG00000132837	DOID:9005574	HPO	Dimethylglycine Dehydrogenase Deficiency	Xref -> OMIM
RB1	5925	P06400	ENSG00000139687	DOID:11054	HPO	urinary bladder cancer	Xref -> OMIM
FRAS1	80144	Q86XX4	ENSG00000138759	DOID:0111405	HPO	Fraser syndrome 1	Xref -> OMIM
PRSS2	5645	P07478	ENSG00000275896	DOID:4989	HPO	pancreatitis	Xref -> OMIM
ALG9	79796	Q9H6U8	ENSG00000086848	DOID:898	HPO	Autosomal dominant polycystic kidney disease	DiseaseName -> Frozenset
FOXJ1	2302	Q92949	ENSG00000129654	DOID:0111856	HPO	primary ciliary dyskinesia 43	Xref -> OMIM
HPCA	3208	P84074	ENSG00000121905	DOID:0090038	HPO	Primary dystonia, DYT2 type	Xref -> OMIM
GARS1	2617	P41250	ENSG00000106105	DOID:0111204	HPO	distal hereditary motor neuronopathy type 5A	Xref -> OMIM
CCL11	6356	P51671	ENSG00000172156	DOID:2841	HPO	asthma	Xref -> OMIM
